name,latitude,longitude,type,id
Alun-Alun Cilacap,-7.727278,109.0095177,evac,manual_alun
BPBD Kabupaten Cilacap,-7.734929,109.006075,evac,
SMP N 1 Cilacap,-7.7385152,109.0090731,evac,
Politeknik Negeri Cilacap,-7.717469,109.019929,evac,
RSUD Cilacap,-7.717244,109.015319,evac,
Akbid Graha Mandiri,-7.726977,109.015649,evac,
Asrama Putri Stikes Al-Irsyad ,-7.711226,109.020901,evac,
SD Al-Irsyad 01,-7.727568,109.006065,evac,
Rusunawa,-7.72616847635695,109.022174308151,evac,
AMN Cilacap,-7.70348513473806,109.020097978893,evac,
RSI Fatimah,-7.6918671162059296,109.025193046681,evac,
Badan Diklat Arsip dan Perpusd,-7.72762720308623,109.014684869684,evac,
DPRD Kabupaten Cilacap,-7.72761632763036,109.006451888681,evac,
SMP Pius Cilacap,-7.73607785199668,109.009633494288,evac,
SMP Negeri 3 Cilacap,-7.728074,109.001426,evac,
SMP Purnama 1 Cilacap,-7.723779,109.017025,evac,
SMP Negeri 2 Cilacap,-7.723603,109.005587,evac,
Masjid Al-Jihad,-7.682287,109.048005,evac,
SMA Negeri 1 Cilacap,-7.713985,109.005431,evac,
RSU Santa Maria Cilacap,-7.7361689,109.0097301,evac,
Kantor Kelurahan Mertasinga,-7.6783886,109.0555327,evac,
Gedung Golkar,-7.723753,109.010784,evac,
SMA Sri Mukti Cilacap,-7.7083942,109.0220419,evac,
SMP Muhammadiyah 1,-7.7207021,109.0068647,evac,
SMP Muhammadiyah 2,-7.680848,109.0372534,evac,
SMP PGRI 1 Cilacap,-7.6861251,109.0478478,evac,
SMP Purnama 2 Cilacap,-7.7239469,109.0054492,evac,
SMP Negeri 8 Cilacap,-7.7281032,109.0109191,evac,
SMK YPE Cilacap,-7.726644,109.0153868,evac,
SMP Negeri 4 Cilacap,-7.713808,109.0220023,evac,
SMP Negeri 6 Cilacap,-7.7109866,109.0129106,evac,
SD Negeri Tegalreja 01,-7.714913,109.005655,evac,
SMA Al-Irsyad Cilacap,-7.7273491,109.0044836,evac,
SD Negeri Tegalreja 02,-7.6908329,109.0083077,evac,
Masjid Agung Darussalam,-7.7274776,109.0086778,evac,
Hotel 3 Intan,-7.7327872,108.9990032,evac,
Hotel Mutiara,-7.7090125,109.0192032,evac,
PMI Cilacap,-7.6806311,109.0504556,evac,
